V1	V2	Cluster
PF3D7_1118000	conserved Plasmodium protein, unknown function	72
PF3D7_1118100	AP-1 complex subunit sigma, putative	121
PF3D7_1118200	heat shock protein 90, putative	70
PF3D7_1118300	insulinase, putative	39
PF3D7_1118400	haloacid dehalogenase-like hydrolase, putative	192
PF3D7_1118500	nucleolar protein 56, putative	39
PF3D7_1118600	histone acetyltransferase	39
PF3D7_1118700	myosin light chain B	148
PF3D7_1118800	actin-related protein 2/3 complex subunit 1, putative	46
PF3D7_1118900	conserved Plasmodium protein, unknown function	46
PF3D7_1119000	acyl-CoA-binding protein, putative	16
PF3D7_1119100	tRNA m(1)G methyltransferase, putative	110
PF3D7_1119200	conserved protein, unknown function	172
PF3D7_1119300	splicing factor U2AF small subunit, putative	100
PF3D7_1119400	ubiquitin-protein ligase, putative	149
PF3D7_1119500	AP-4 complex subunit mu, putative	59
PF3D7_1119600	ATP-dependent zinc metalloprotease FTSH, putative	114
PF3D7_1119700	conserved Plasmodium protein, unknown function	95
PF3D7_1119800	alternative splicing factor ASF-1, putative	113
PF3D7_1119900	conserved Plasmodium protein, unknown function	81
PF3D7_1120000	conserved Plasmodium protein, unknown function	128
PF3D7_1120100	phosphoglycerate mutase, putative	12
PF3D7_1120200	conserved Plasmodium protein, unknown function	180
PF3D7_1120300	CorA-like Mg2+ transporter protein, putative	153
PF3D7_1120400	alpha/beta hydrolase fold domain containing protein, putative	76
PF3D7_1120500	tRNA nucleotidyltransferase, putative	100
PF3D7_1120600	conserved Plasmodium protein, unknown function	28
PF3D7_1120700	conserved Plasmodium protein, unknown function	51
PF3D7_1120800	conserved Plasmodium protein, unknown function	44
PF3D7_1120900	heat shock factor-binding protein 1	44
PF3D7_1121000	palmitoyltransferase DHHC3	18
PF3D7_1121100	conserved Plasmodium protein, unknown function	224
PF3D7_1121200	conserved Plasmodium protein, unknown function	189
PF3D7_1121300	tyrosine kinase-like protein	11
PF3D7_1121400	WD repeat-containing protein, putative	46
PF3D7_1121500	conserved Plasmodium protein, unknown function	151
PF3D7_1121600	exported protein 1	119
PF3D7_1121700	protein GCN20	147
PF3D7_1121800	peptidase M16, putative	90
PF3D7_1121900	serine/threonine protein kinase, putative	11
PF3D7_1122000	conserved Plasmodium protein, unknown function	47
PF3D7_1122100	GPI transamidase component GPI16, putative	116
PF3D7_1122200	cupin-like protein, putative	139
PF3D7_1122300	conserved Plasmodium protein, unknown function	81
PF3D7_1122400	conserved Plasmodium protein, unknown function	171
PF3D7_1122500	conserved Plasmodium protein, unknown function	31
PF3D7_1122600	conserved Plasmodium protein, unknown function	123
PF3D7_1122700	conserved Plasmodium protein, unknown function	18
PF3D7_1122800	calcium-dependent protein kinase 6	91
PF3D7_1122900	dynein heavy chain, putative	69
PF3D7_1123000	conserved Plasmodium protein, unknown function	139
PF3D7_1123100	calcium-dependent protein kinase 7	23
PF3D7_1123200	leucine-rich repeat protein	34
PF3D7_1123300	RING zinc finger protein, putative	157
PF3D7_1123400	translation elongation factor EF-1, subunit alpha, putative	100
PF3D7_1123500	conserved Plasmodium protein, unknown function	139
PF3D7_1123600	RAP protein, putative	152
PF3D7_1123700	mitochondrial ribosomal protein L37, putative	146
PF3D7_1123800	structural maintenance of chromosomes protein 5, putative	27
PF3D7_1123900	13 kDa ribonucleoprotein-associated protein, putative	9
PF3D7_1124000	endoplasmic reticulum oxidoreductin, putative	62
PF3D7_1124100	beige/BEACH domain protein, putative	149
PF3D7_1124200	conserved Plasmodium protein, unknown function	123
PF3D7_1124300	conserved Plasmodium protein, unknown function	87
PF3D7_1124400	U6 snRNA-associated Sm-like protein LSm1, putative	26
PF3D7_1124500	pyruvate dehydrogenase E1 component subunit alpha	46
PF3D7_1124600	ethanolamine kinase	33
PF3D7_1124700	GrpE protein homolog, mitochondrial, putative	70
PF3D7_1124800	ribosome biogenesis regulatory protein, putative	119
PF3D7_1124900	60S ribosomal protein L35, putative	97
PF3D7_1125000	conserved Plasmodium protein, unknown function	24
PF3D7_1125100	conserved Apicomplexan protein, unknown function	102
PF3D7_1125200	conserved Plasmodium protein, unknown function	61
PF3D7_1125300	DNA-directed RNA polymerase	60
PF3D7_1125400	mitochondrial import inner membrane translocase subunit TIM44, putative	70
PF3D7_1125500	small nuclear ribonucleoprotein Sm D1, putative	9
PF3D7_1125700	kelch domain-containing protein, putative	103
PF3D7_1125800	kelch domain-containing protein, putative	103
PF3D7_1125900	conserved Plasmodium protein, unknown function	59
PF3D7_1126000	threonine--tRNA ligase	100
PF3D7_1126100	autophagy-related protein 7, putative	142
PF3D7_1126200	40S ribosomal protein S18, putative	9
PF3D7_1126300	DnaJ protein, putative	192
PF3D7_1126400	conserved Plasmodium protein, unknown function	139
PF3D7_1126500	conserved Plasmodium protein, unknown function	137
PF3D7_1126600	steryl ester hydrolase, putative	114
PF3D7_1126700	autophagy-related protein 23, putative	14
PF3D7_1126800	RNA-binding protein, putative	61
PF3D7_1126900	small nuclear ribonucleoprotein F, putative	215
PF3D7_1127000	protein phosphatase, putative	113
PF3D7_1127100	deoxyuridine 5'-triphosphate nucleotidohydrolase	146
PF3D7_1127200	conserved Plasmodium protein, unknown function	196
PF3D7_1127300	tRNA (guanine-N(7)-)-methyltransferase, putative	65
PF3D7_1127400	conserved Plasmodium protein, unknown function	12
PF3D7_1127500	protein disulfide-isomerase, putative	123
PF3D7_1127600	CRAL/TRIO domain-containing protein, putative	103
PF3D7_1127700	conserved Plasmodium protein, unknown function	43
PF3D7_1127800	conserved Plasmodium protein, unknown function	137
PF3D7_1127900	conserved Plasmodium protein, unknown function	91
PF3D7_1128000	conserved Plasmodium protein, unknown function	39
PF3D7_1128100	prefoldin subunit 5, putative	12
PF3D7_1128200	multiprotein-bridging factor 1, putative	9
PF3D7_1128300	ATP-dependent 6-phosphofructokinase	172
PF3D7_1128400	bifunctional farnesyl/geranylgeranyl diphosphate synthase	96
PF3D7_1128500	conserved protein, unknown function	9
PF3D7_1128600	CCR4-NOT transcription complex subunit 2, putative	165
PF3D7_1128700	GPI-anchor transamidase, putative	18
PF3D7_1128900	conserved Plasmodium protein, unknown function	18
PF3D7_1129000	spermidine synthase	70
PF3D7_1129100	parasitophorous vacuolar protein 1	39
PF3D7_1129200	26S proteasome regulatory subunit RPN7, putative	101
PF3D7_1129300	conserved Plasmodium protein, unknown function	148
PF3D7_1129400	rRNA (cytosine-C(5))-methyltransferase, putative	9
PF3D7_1129500	A/G-specific adenine glycosylase, putative	42
PF3D7_1129600	phosphatidylinositol-4-phosphate 5-kinase, putative	95
PF3D7_1129700	conserved Plasmodium protein, unknown function	197
PF3D7_1129800	conserved Plasmodium protein, unknown function	35
PF3D7_1129900	major facilitator superfamily-related transporter, putative	70
PF3D7_1130000	phosphoacetylglucosamine mutase, putative	220
PF3D7_1130100	60S ribosomal protein L38	9
PF3D7_1130200	60S ribosomal protein P0	9
PF3D7_1130400	26S protease regulatory subunit 6A, putative	101
PF3D7_1130500	conserved oligomeric Golgi complex subunit 2, putative	118
PF3D7_1130600	methyltransferase, putative	70
PF3D7_1130700	structural maintenance of chromosomes protein 1, putative	24
PF3D7_1130800	armadillo repeat protein PF16, putative	95
PF3D7_1130900	conserved Plasmodium protein, unknown function	48
PF3D7_1131000	RNA-binding protein s1, putative	71
PF3D7_1131100	serpentine receptor, putative	140
PF3D7_1131200	conserved Plasmodium protein, unknown function	140
PF3D7_1131300	conserved Plasmodium protein, unknown function	41
PF3D7_1131400	conserved Plasmodium protein, unknown function	231
PF3D7_1131500	conserved Plasmodium protein, unknown function	182
PF3D7_1131600	conserved Plasmodium protein, unknown function	155
PF3D7_1131800	oxysterol-binding protein, putative	140
PF3D7_1131900	conserved Plasmodium protein, unknown function	69
PF3D7_1132000	ubiquitin-like protein, putative	30
PF3D7_1132100	RNA-binding protein, putative	38
PF3D7_1132200	T-complex protein 1 subunit alpha	9
PF3D7_1132300	nucleic acid binding protein, putative	72
PF3D7_1132400	conserved Plasmodium membrane protein, unknown function	161
PF3D7_1132500	amino acid transporter, putative	84
PF3D7_1132600	pre-mRNA-splicing factor 38A, putative	120
PF3D7_1132700	50S ribosomal protein L2, putative	155
PF3D7_1132800	aquaglyceroporin	123
PF3D7_1132900	glycine cleavage system H protein	16
PF3D7_1133100	conserved Plasmodium protein, unknown function	100
PF3D7_1133200	conserved Plasmodium protein, unknown function	108
PF3D7_1133300	LEM3/CDC50 family protein, putative	148
PF3D7_1133400	apical membrane antigen 1	5
PF3D7_1133500	conserved Plasmodium protein, unknown function	90
PF3D7_1133600	conserved Plasmodium protein, unknown function	237
PF3D7_1133700	FHA domain-containing protein, putative	226
PF3D7_1133800	RNA (uracil-5-)methyltransferase, putative	158
PF3D7_1133900	conserved Plasmodium protein, unknown function	221
PF3D7_1134000	heat shock protein 70	70
PF3D7_1134100	protein disulfide isomerase	50
PF3D7_1134200	conserved Plasmodium protein, unknown function	39
PF3D7_1134300	conserved Plasmodium protein, unknown function	174
PF3D7_1134400	conserved Plasmodium protein, unknown function	146
PF3D7_1134500	alpha/beta hydrolase, putative	59
PF3D7_1134600	zinc finger protein, putative	232
PF3D7_1134700	DNA-directed RNA polymerase I subunit RPA2, putative	137
PF3D7_1134800	coatomer subunit delta	25
PF3D7_1134900	conserved Plasmodium protein, unknown function	43
PF3D7_1135000	PQ-loop repeat-containing protein, unspecified product	37
PF3D7_1135100	protein phosphatase PPM8, putative	91
PF3D7_1135300	conserved Plasmodium membrane protein, unknown function	98
PF3D7_1135400	conserved Plasmodium protein, unknown function	113
PF3D7_1135500	conserved Plasmodium protein, unknown function	219
PF3D7_1135600	condensin-2 complex subunit D3, putative	15
PF3D7_1135800	conserved Plasmodium protein, unknown function	9
PF3D7_1135900	3-oxo-5-alpha-steroid 4-dehydrogenase, putative	192
PF3D7_1136000	conserved Plasmodium protein, unknown function	34
PF3D7_1136100	conserved Plasmodium protein, unknown function	212
PF3D7_1136200	conserved Plasmodium protein, unknown function	148
PF3D7_1136300	tudor staphylococcal nuclease	35
PF3D7_1136400	signal recognition particle subunit SRP72, putative	100
PF3D7_1136500	casein kinase 1	224
PF3D7_1136600	conserved Plasmodium protein, unknown function	139
PF3D7_1136700	conserved Plasmodium protein, unknown function	103
PF3D7_1136800	DnaJ protein, putative	147
PF3D7_1136900	subtilisin-like protease 2	103
PF3D7_1137100	mitochondrial ribosomal protein S9 precursor, putative	223
PF3D7_1137200	apical exonemal protein	18
PF3D7_1137300	CLPTM1 domain-containing protein, putative	100
PF3D7_1137400	UVB-resistance protein UVR8 homologue	29
PF3D7_1137500	apicoplast ribosomal protein S14p/S29e precursor, putative	10
PF3D7_1137600	conserved Plasmodium protein, unknown function	133
PF3D7_1137700	calcium-binding protein, putative	43
PF3D7_1137900	conserved Plasmodium protein, unknown function	211
PF3D7_1138000	conserved Plasmodium protein, unknown function	11
PF3D7_1138100	ubiquitin-related modifier 1, putative	76
PF3D7_1138200	conserved Plasmodium membrane protein, unknown function	208
PF3D7_1138400	guanylyl cyclase	10
PF3D7_1138500	protein phosphatase PPM2	4
PF3D7_1138600	beta-catenin-like protein 1, putative	13
PF3D7_1138700	conserved Plasmodium protein, unknown function	23
PF3D7_1138800	WD repeat-containing protein, putative	171
PF3D7_1139100	RNA-binding protein, putative	79
PF3D7_1139200	VPS9 domain-containing protein, putative	73
PF3D7_1139300	AP2 domain transcription factor, putative	70
PF3D7_1139500	AAA family ATPase, putative, unspecified product	196
PF3D7_1139600	conserved Plasmodium protein, unknown function	43
PF3D7_1139700	adrenodoxin reductase, putative	74
PF3D7_1139800	conserved Plasmodium protein, unknown function	36
PF3D7_1139900	conserved protein, unknown function	9
PF3D7_1140000	carbonic anhydrase	84
PF3D7_1140100	V-type proton ATPase subunit F, putative	126
PF3D7_1140200	conserved Plasmodium protein, unknown function	16
PF3D7_1140300	P-loop containing nucleoside triphosphate hydrolase, putative	156
PF3D7_1140400	conserved Plasmodium protein, unknown function	148
PF3D7_1140500	myosin K, putative	43
PF3D7_1140600	conserved Plasmodium protein, unknown function	148
PF3D7_1140700	conserved Plasmodium protein, unknown function	66
PF3D7_1140800	conserved Plasmodium protein, unknown function	137
PF3D7_1140900	conserved Plasmodium protein, unknown function	37
PF3D7_1141000	conserved Plasmodium protein, unknown function	216
PF3D7_1141100	conserved Plasmodium protein, unknown function	183
PF3D7_1141200	conserved Apicomplexan protein, unknown function	24
PF3D7_1141300	conserved Plasmodium protein, unknown function	33
PF3D7_1141400	phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative	32
PF3D7_1141500	conserved Plasmodium protein, unknown function	205
PF3D7_1141600	dolichol-phosphate mannosyltransferase	189
PF3D7_1141700	OTU domain-containing protein, putative	110
PF3D7_1141800	EELM2 domain-containing protein, putative	18
PF3D7_1141900	inner membrane complex protein 1b, putative	130
PF3D7_1142000	conserved Plasmodium protein, unknown function	225
PF3D7_1142100	conserved Plasmodium protein, unknown function	76
PF3D7_1142200	conserved Plasmodium protein, unknown function	199
PF3D7_1142300	conserved Plasmodium membrane protein, unknown function	156
PF3D7_1142400	coproporphyrinogen-III oxidase	9
PF3D7_1142500	60S ribosomal protein L28	9
PF3D7_1142600	60S ribosomal protein L35ae, putative	9
PF3D7_1142700	methyltransferase, putative	100
PF3D7_1142800	conserved Plasmodium protein, unknown function	35
PF3D7_1142900	conserved Plasmodium protein, unknown function	208
PF3D7_1143100	AP2 domain transcription factor AP2-O, putative	14
PF3D7_1143200	DnaJ protein, putative	140
PF3D7_1143300	DNA-directed RNA polymerases I and III subunit RPAC1, putative	39
PF3D7_1143400	translation initiation factor eIF-1A, putative	147
PF3D7_1143500	conserved Plasmodium protein, unknown function	118
PF3D7_1143600	conserved Plasmodium protein, unknown function	132
PF3D7_1143700	conserved Plasmodium protein, unknown function	166
PF3D7_1143800	oocyst capsule protein Cap93, putative	139
PF3D7_1143900	ATP-dependent (S)-NAD(P)H-hydrate dehydratase, putative	202
PF3D7_1144000	40S ribosomal protein S21	9
PF3D7_1144200	conserved Plasmodium protein, unknown function	175
PF3D7_1144400	conserved Plasmodium protein, unknown function	124
PF3D7_1144500	SUMO-activating enzyme subunit 1	64
PF3D7_1144600	transcription initiation factor IIF subunit beta, putative	97
PF3D7_1144700	apicoplast import protein Tic20, putative	44
PF3D7_1144800	conserved Plasmodium protein, unknown function	212
PF3D7_1144900	ras-related protein Rab-6	101
PF3D7_1145000	conserved Plasmodium protein, unknown function	90
PF3D7_1145100	coatomer subunit gamma, putative	224
PF3D7_1145200	serine/threonine protein kinase, putative	148
PF3D7_1145400	dynamin-like protein	149
PF3D7_1145500	ABC transporter B family member 3, putative	134
PF3D7_1145600	conserved protein, unknown function	57
PF3D7_1145700	bicoid-interacting protein BIN3, putative	82
PF3D7_1145800	conserved Plasmodium protein, unknown function	139
PF3D7_1145900	conserved Plasmodium protein, unknown function	67
PF3D7_1146000	ribosome assembly protein 4, putative	25
PF3D7_1146100	conserved Plasmodium protein, unknown function	217
PF3D7_1146200	conserved Plasmodium protein, unknown function	200
PF3D7_1146300	conserved Plasmodium protein, unknown function	90
PF3D7_1146500	leucine-rich repeat protein	95
PF3D7_1146600	oocyst rupture protein 1, putative	103
PF3D7_1146700	kinesin-like protein, putative	228
PF3D7_1146800	conserved Plasmodium protein, unknown function	82
PF3D7_1147000	sporozoite and liver stage asparagine-rich protein	95
PF3D7_1147200	tubulin--tyrosine ligase, putative	95
PF3D7_1147300	conserved Plasmodium protein, unknown function	108
PF3D7_1147500	protein farnesyltransferase subunit beta	71
PF3D7_1147600	conserved Plasmodium protein, unknown function	117
PF3D7_1147700	ATP synthase subunit delta, mitochondrial, putative	24
PF3D7_1147800	membrane associated erythrocyte binding-like protein	151
PF3D7_1147900	peroxisome assembly protein 22, putative	163
PF3D7_1148000	serine/threonine protein kinase, putative	24
PF3D7_1148700	Plasmodium exported protein (PHISTc), unknown function	147
PF3D7_1148800	Plasmodium exported protein (hyp11), unknown function	66
PF3D7_1148900	Plasmodium exported protein, unknown function	81
PF3D7_1149000	antigen 332, DBL-like protein	75
PF3D7_1149100	Plasmodium exported protein, unknown function	96
PF3D7_1149200	ring-infected erythrocyte surface antigen	4
PF3D7_1149300	serine/threonine protein kinase, FIKK family	91
PF3D7_1149400	Plasmodium exported protein, unknown function	70
PF3D7_1149500	ring-infected erythrocyte surface antigen 2, pseudogene	76
PF3D7_1149600	DnaJ protein, putative	66
PF3D7_1149700	Plasmodium exported protein (PHISTa), unknown function, fragment	141
PF3D7_1200700	acyl-CoA synthetase	66
PF3D7_1200800	serine/threonine protein kinase, FIKK family	39
PF3D7_1200900	Plasmodium exported protein (PHISTc), unknown function	131
PF3D7_1201000	Plasmodium exported protein (PHISTb), unknown function	75
PF3D7_1201100	RESA-like protein with PHIST and DnaJ domains	142
PF3D7_1201200	Plasmodium exported protein (PHISTa-like), unknown function	7
PF3D7_1201300	liver stage associated protein 1	69
PF3D7_1201400	Plasmodium exported protein, unknown function	6
PF3D7_1201500	XPA binding protein 1, putative	131
PF3D7_1201600	NIMA related kinase 3	95
PF3D7_1201700	conserved Plasmodium membrane protein, unknown function	41
PF3D7_1201800	cytochrome c oxidase assembly protein COX19, putative	19
PF3D7_1201900	conserved protein, unknown function	35
PF3D7_1202000	ATP-dependent RNA helicase, putative	35
PF3D7_1202100	SRAP domain-containing protein, putative	162
PF3D7_1202200	mitochondrial phosphate carrier protein	108
PF3D7_1202300	dynein heavy chain, putative	102
PF3D7_1202400	peptidyl-prolyl cis-trans isomerase	37
PF3D7_1202500	trimethylguanosine synthase, putative	100
PF3D7_1202600	conserved protein, unknown function	175
PF3D7_1202700	conserved Plasmodium protein, unknown function	100
PF3D7_1202800	conserved Plasmodium protein, unknown function	127
PF3D7_1202900	high mobility group protein B1	30
PF3D7_1203000	origin recognition complex subunit 1	108
PF3D7_1203100	conserved Plasmodium protein, unknown function	61
PF3D7_1203200	signal recognition particle subunit SRP14	97
PF3D7_1203300	conserved Plasmodium protein, unknown function	10
PF3D7_1203400	major facilitator superfamily domain-containing protein, putative	27
PF3D7_1203500	threonylcarbamoyl-AMP synthase, putative	52
PF3D7_1203600	cytochrome c1 heme lyase, putative	42
PF3D7_1203700	nucleosome assembly protein	45
PF3D7_1203900	ubiquitin-conjugating enzyme E2	150
PF3D7_1204000	conserved Plasmodium protein, unknown function	216
PF3D7_1204100	conserved Plasmodium protein, unknown function	41
PF3D7_1204200	conserved Plasmodium protein, unknown function	42
PF3D7_1204300	eukaryotic translation initiation factor 5A	65
PF3D7_1204400	conserved Plasmodium membrane protein, unknown function	95
PF3D7_1204500	conserved Plasmodium protein, unknown function	12
PF3D7_1204600	cytidine deaminase, putative	129
PF3D7_1204700	conserved Plasmodium protein, unknown function	146
PF3D7_1204900	probable protein, unknown function	103
PF3D7_1205000	conserved Plasmodium protein, unknown function	197
PF3D7_1205100	O-phosphoseryl-tRNA(Sec) selenium transferase, putative	96
PF3D7_1205200	HAD domain ookinete protein, putative	18
PF3D7_1205300	conserved Plasmodium protein, unknown function	18
PF3D7_1205400	kelch domain-containing protein, putative	185
PF3D7_1205500	zinc finger protein, putative	23
PF3D7_1205600	tetratricopeptide repeat protein, putative	35
PF3D7_1205700	targeted glyoxalase II	32
PF3D7_1205800	high mobility group protein B3, putative	4
PF3D7_1205900	conserved protein, unknown function	187
PF3D7_1206000	shewanella-like protein phosphatase 2	148
PF3D7_1206100	IMP-specific 5'-nucleotidase, putative	208
PF3D7_1206200	eukaryotic translation initiation factor 3 subunit C, putative	65
PF3D7_1206300	conserved Plasmodium protein, unknown function	148
PF3D7_1206400	rhodanese like protein, putative	74
PF3D7_1206500	Tat binding protein 1(TBP-1)-interacting protein, putative	63
PF3D7_1206600	DNA-directed RNA polymerase III subunit RPC2, putative	25
PF3D7_1206700	eukaryotic translation initiation factor 5, putative	120
PF3D7_1206800	conserved Plasmodium protein, unknown function	169
PF3D7_1206900	conserved Plasmodium protein, unknown function	166
PF3D7_1207000	conserved Plasmodium protein, unknown function	93
PF3D7_1207100	small subunit rRNA processing factor, putative	39
PF3D7_1207200	conserved Plasmodium protein, unknown function	71
PF3D7_1207300	LIMP protein, putative	95
PF3D7_1207400	conserved Plasmodium protein, unknown function	6
PF3D7_1207500	RNA-binding protein, putative	10
PF3D7_1207600	tRNA delta(2)-isopentenylpyrophosphate transferase, putative	65
PF3D7_1207700	blood stage antigen 41-3 precursor	95
PF3D7_1207800	conserved Plasmodium protein, unknown function	67
PF3D7_1207900	conserved Plasmodium protein, unknown function	42
PF3D7_1208000	apicoplast ribosomal protein L29 precursor, putative	15
PF3D7_1208100	conserved Plasmodium protein, unknown function	39
PF3D7_1208200	cysteine repeat modular protein 3	151
PF3D7_1208300	mitochondrial ACP precursor, putative	16
PF3D7_1208400	amino acid transporter, putative	11
PF3D7_1208500	conserved Plasmodium protein, unknown function	151
PF3D7_1208600	mitochondrial import inner membrane translocase subunit TIM10, putative	70
PF3D7_1208700	conserved protein, unknown function	19
PF3D7_1208800	zinc finger protein, putative	172
PF3D7_1208900	protein phosphatase PPM11, putative	109
PF3D7_1209000	conserved Plasmodium protein, unknown function	171
PF3D7_1209100	conserved Plasmodium protein, unknown function	183
PF3D7_1209200	U6 snRNA-associated Sm-like protein LSm7, putative	9
PF3D7_1209300	telomere repeat-binding zinc finger protein	156
PF3D7_1209400	cytosolic iron-sulfur protein assembly protein 1, putative	193
PF3D7_1209500	cGMP-specific phosphodiesterase	107
PF3D7_1209600	porphobilinogen deaminase	228
PF3D7_1209700	conserved Plasmodium protein, unknown function	56
PF3D7_1209800	ATP synthase mitochondrial F1 complex assembly factor 1, putative	48
PF3D7_1209900	ABC transporter B family member 7, putative	146
PF3D7_1210000	50S ribosomal protein L1, apicoplast, putative	118
PF3D7_1210100	syntaxin, Qa-SNARE family	140
PF3D7_1210200	zinc finger protein, putative	130
PF3D7_1210300	conserved Plasmodium protein, unknown function	65
PF3D7_1210400	general transcription factor 3C polypeptide 5, putative	178
PF3D7_1210500	conserved Plasmodium protein, unknown function	127
PF3D7_1210600	conserved Plasmodium protein, unknown function	39
PF3D7_1210700	conserved Plasmodium protein, unknown function	62
PF3D7_1210900	GPI mannosyltransferase 1	179
PF3D7_1211000	kinesin-7, putative	20
PF3D7_1211100	HSP20-like chaperone	6
PF3D7_1211200	conserved Plasmodium protein, unknown function	100
PF3D7_1211300	DNA helicase MCM8, putative	44
PF3D7_1211400	heat shock protein DNAJ homologue Pfj4	65
PF3D7_1211500	mitochondrial ribosomal protein S18 precursor, putative	64
PF3D7_1211600	lysine-specific histone demethylase 1, putative	236
PF3D7_1211700	DNA replication licensing factor MCM5, putative	37
PF3D7_1211800	polyubiquitin	180
PF3D7_1211900	non-SERCA-type Ca2+ -transporting P-ATPase	98
PF3D7_1212000	glutathione peroxidase-like thioredoxin peroxidase	227
PF3D7_1212100	peripheral plastid protein 1, putative	96
PF3D7_1212200	conserved Plasmodium protein, unknown function	117
PF3D7_1212300	WD repeat-containing protein, putative	24
PF3D7_1212400	tetratricopeptide repeat protein, putative	24
PF3D7_1212500	glycerol-3-phosphate 1-O-acyltransferase	36
PF3D7_1212700	eukaryotic translation initiation factor 3 subunit A, putative	100
PF3D7_1212800	iron-sulfur subunit of succinate dehydrogenase	37
PF3D7_1212900	bromodomain protein 2, putative	4
PF3D7_1213200	conserved Plasmodium protein, unknown function	110
PF3D7_1213300	conserved Plasmodium protein, unknown function	211
PF3D7_1213400	conserved Plasmodium protein, unknown function	95
PF3D7_1213500	integral membrane protein GPR180, putative	95
PF3D7_1213600	dynein light chain 1, putative	44
PF3D7_1213700	DNA-directed RNA polymerases I, II, and III subunit RPABC3, putative	39
PF3D7_1213800	proline--tRNA ligase	49
PF3D7_1213900	conserved Plasmodium protein, unknown function	39
PF3D7_1214000	conserved Plasmodium protein, unknown function	37
PF3D7_1214100	GPI ethanolamine phosphate transferase 3, putative	27
PF3D7_1214200	histone-lysine N-methyltransferase, putative	114
PF3D7_1214500	conserved Plasmodium protein, unknown function	95
PF3D7_1214600	adrenodoxin-type ferredoxin, putative	65
PF3D7_1214700	conserved Plasmodium protein, unknown function	169
PF3D7_1214800	conserved Plasmodium protein, unknown function	130
PF3D7_1214900	conserved Plasmodium membrane protein, unknown function	37
PF3D7_1215000	thioredoxin peroxidase 2	10
PF3D7_1215100	conserved Plasmodium protein, unknown function	70
PF3D7_1215200	peptidyl-prolyl cis-trans isomerase	227
PF3D7_1215300	10 kDa chaperonin	29
PF3D7_1215400	conserved Plasmodium protein, unknown function	132
PF3D7_1215600	conserved Plasmodium protein, unknown function	153
PF3D7_1215700	conserved Plasmodium protein, unknown function	211
PF3D7_1215800	conserved Plasmodium protein, unknown function	84
PF3D7_1215900	serpentine receptor, putative	165
PF3D7_1216000	serine--tRNA ligase, putative	161
PF3D7_1216100	conserved Plasmodium membrane protein, unknown function	189
PF3D7_1216200	glycerol-3-phosphate dehydrogenase [NAD(+)], putative	145
PF3D7_1216300	signal recognition particle subunit SRP19	39
PF3D7_1216400	conserved Plasmodium membrane protein, unknown function	76
PF3D7_1216500	male development gene 1	63
PF3D7_1216600	cell traversal protein for ookinetes and sporozoites	6
PF3D7_1216700	perforin-like protein 2	181
PF3D7_1216900	DNA-binding chaperone, putative	70
PF3D7_1217000	conserved Plasmodium protein, unknown function	53
PF3D7_1217100	meiotic recombination protein SPO11, putative	167
PF3D7_1217200	multiple RNA-binding domain-containing protein 1, putative	100
PF3D7_1217300	GTP-binding protein, putative	210
PF3D7_1217400	conserved Plasmodium protein, unknown function	138
PF3D7_1217500	conserved Plasmodium protein, unknown function	45
PF3D7_1217600	anaphase-promoting complex subunit 10, putative	43
PF3D7_1217700	conserved Plasmodium protein, unknown function	127
PF3D7_1217800	diphthamide biosynthesis protein 3, putative	52
PF3D7_1217900	PPPDE peptidase domain-containing protein, putative	150
PF3D7_1218000	thrombospondin-related apical membrane protein	103
PF3D7_1218100	conserved Plasmodium protein, unknown function	84
PF3D7_1218200	conserved Plasmodium protein, unknown function	139
PF3D7_1218300	AP-2 complex subunit mu, putative	23
PF3D7_1218400	triose or hexose phosphate/phosphate translocator, putative	112
PF3D7_1218500	dynamin-like protein, putative	45
PF3D7_1218600	arginine--tRNA ligase	100
PF3D7_1218700	conserved Plasmodium protein, unknown function	166
PF3D7_1218800	secreted ookinete protein, putative	46
PF3D7_1218900	WD repeat-containing protein, putative	147
PF3D7_1219000	formin 2	54
PF3D7_1219100	clathrin heavy chain, putative	149
PF3D7_1219600	aminophospholipid-transporting P-ATPase	187
PF3D7_1219700	raf kinase inhibitor	107
PF3D7_1219900	ribulose-phosphate 3-epimerase, putative	40
PF3D7_1220000	zinc finger protein, putative	151
PF3D7_1220100	pre-mRNA-processing factor 17, putative	61
PF3D7_1220300	cell cycle associated protein, putative	27
PF3D7_1220400	debranching enzyme-associated ribonuclease, putative	129
PF3D7_1220500	ribosome biogenesis protein TSR3, putative	236
PF3D7_1220600	conserved Plasmodium protein, unknown function	57
PF3D7_1220700	conserved Plasmodium protein, unknown function	177
PF3D7_1220900	heterochromatin protein 1	101
PF3D7_1221000	histone-lysine N-methyltransferase, H3 lysine-4 specific	34
PF3D7_1221100	conserved Plasmodium protein, unknown function	95
PF3D7_1221200	conserved Plasmodium protein, unknown function	183
PF3D7_1221300	conserved Plasmodium protein, unknown function	228
PF3D7_1221400	inner membrane complex protein 1h, putative	95
PF3D7_1221500	conserved Plasmodium protein, unknown function	142
PF3D7_1221600	protein TSSC1, putative	219
PF3D7_1221700	FbpA domain protein, putative	54
PF3D7_1221800	conserved Plasmodium protein, unknown function	108
PF3D7_1221900	conserved Plasmodium membrane protein, unknown function	147
PF3D7_1222000	tRNA-splicing ligase RtcB, putative	164
PF3D7_1222100	conserved Plasmodium protein, unknown function	204
